               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  74,            0.067041,            0.068959,            0.022606,            0.086812,               0.213,            0.070192,            0.023963,            0.079305,            0.035354,            0.030487,           0.0063865,           0.0063865,           0.0063865
                  75,            0.067689,            0.065219,            0.022063,             0.21844,            0.099262,            0.065371,            0.025655,            0.082535,            0.032924,            0.029604,            0.006337,            0.006337,            0.006337
                  76,            0.066948,            0.065579,            0.021632,             0.26395,             0.16113,             0.10696,            0.036083,            0.081709,            0.032969,            0.028532,           0.0062875,           0.0062875,           0.0062875
                  77,            0.063675,            0.061833,            0.020747,             0.26616,             0.16055,             0.10926,            0.039671,            0.080809,             0.03364,            0.027013,            0.006238,            0.006238,            0.006238
                  78,            0.066128,             0.06733,            0.020054,             0.10867,             0.16434,            0.071656,            0.025429,            0.080952,            0.033627,            0.030972,           0.0061885,           0.0061885,           0.0061885
                  79,            0.065715,             0.06579,            0.021022,             0.19435,             0.13746,             0.11113,            0.033829,            0.082658,            0.036998,            0.029132,            0.006139,            0.006139,            0.006139
                  80,            0.064471,            0.059812,            0.020851,              0.2047,             0.13869,             0.12593,            0.042304,            0.078745,            0.035367,            0.028143,           0.0060895,           0.0060895,           0.0060895
                  81,            0.063691,            0.065809,            0.019323,             0.23604,             0.13112,             0.10184,            0.031255,            0.080442,            0.035774,            0.028436,             0.00604,             0.00604,             0.00604
                  82,            0.066474,            0.062709,            0.021119,              0.1498,             0.21766,             0.10386,            0.029352,            0.079967,            0.034026,            0.026363,           0.0059905,           0.0059905,           0.0059905
                  83,            0.064704,            0.066084,            0.020142,             0.44735,              0.1804,             0.15928,            0.048526,            0.079742,            0.035284,            0.029814,            0.005941,            0.005941,            0.005941
                  84,            0.064812,            0.063716,            0.020046,             0.23265,             0.18075,             0.13608,            0.042115,            0.080805,            0.032376,            0.028619,           0.0058915,           0.0058915,           0.0058915
                  85,            0.063196,            0.059899,            0.019328,             0.20426,             0.13335,            0.092386,            0.030409,            0.081548,            0.032466,            0.030753,            0.005842,            0.005842,            0.005842
                  86,            0.064914,            0.062634,            0.018278,              0.2345,             0.11092,            0.093597,             0.02954,            0.081191,            0.033607,            0.029109,           0.0057925,           0.0057925,           0.0057925
                  87,            0.065041,            0.061111,             0.01943,             0.21059,             0.21076,             0.14834,            0.043489,            0.081444,            0.036006,            0.028427,            0.005743,            0.005743,            0.005743
                  88,            0.063992,            0.062175,            0.017837,             0.17827,             0.15103,              0.1158,            0.041001,            0.083279,            0.033504,            0.029604,           0.0056935,           0.0056935,           0.0056935
                  89,            0.064044,            0.063234,            0.018926,             0.12553,             0.17599,            0.075387,             0.02463,            0.081084,            0.036612,            0.032217,            0.005644,            0.005644,            0.005644
                  90,            0.062851,            0.061914,            0.018529,             0.14914,             0.19464,            0.090162,            0.033301,            0.081244,            0.033214,            0.032611,           0.0055945,           0.0055945,           0.0055945
                  91,            0.063261,            0.061623,            0.018181,             0.18316,             0.11189,            0.096891,            0.031002,             0.08317,            0.032789,            0.029631,            0.005545,            0.005545,            0.005545
                  92,            0.063972,            0.062169,            0.018602,             0.25099,             0.20221,                0.16,            0.045975,            0.081715,            0.033814,            0.028079,           0.0054955,           0.0054955,           0.0054955
                  93,              0.0632,            0.063783,            0.017779,             0.12904,             0.13335,            0.086503,             0.02463,            0.084224,            0.037701,            0.029594,            0.005446,            0.005446,            0.005446
                  94,            0.063035,            0.060979,            0.017568,             0.52008,             0.15579,             0.14613,             0.05586,            0.082521,            0.034768,            0.029626,           0.0053965,           0.0053965,           0.0053965
                  95,            0.061827,            0.062797,            0.017796,             0.32503,             0.16268,              0.1416,            0.039731,            0.085305,            0.032988,            0.028491,            0.005347,            0.005347,            0.005347
                  96,            0.062865,            0.061565,            0.018025,             0.19938,             0.13869,             0.11105,            0.032651,            0.083275,            0.032473,            0.030167,           0.0052975,           0.0052975,           0.0052975
                  97,            0.061583,            0.061393,            0.018061,             0.11338,              0.1823,            0.083962,            0.027276,            0.082655,            0.032241,            0.030423,            0.005248,            0.005248,            0.005248
